,Unnamed: 0,Date,Rate,currency,rate,year,month,month_str
68,69,2012-02-01,{'USD': 1.316874},USD,1.316874,2012,2,Feb
69,70,2012-02-01,{'GBP': 0.831149},GBP,0.831149,2012,2,Feb
70,71,2012-02-01,{'JPY': 100.279857},JPY,100.279857,2012,2,Feb
71,72,2012-02-01,{'CNY': 8.305167},CNY,8.305167,2012,2,Feb
72,73,2013-02-01,{'USD': 1.365048},USD,1.365048,2013,2,Feb
73,74,2013-02-01,{'GBP': 0.867289},GBP,0.867289,2013,2,Feb
74,75,2013-02-01,{'JPY': 125.907455},JPY,125.907455,2013,2,Feb
75,76,2013-02-01,{'CNY': 8.51963},CNY,8.51963,2013,2,Feb
76,77,2014-02-01,{'USD': 1.348849},USD,1.348849,2014,2,Feb
77,78,2014-02-01,{'GBP': 0.820484},GBP,0.820484,2014,2,Feb
78,79,2014-02-01,{'JPY': 137.759805},JPY,137.759805,2014,2,Feb
79,80,2014-02-01,{'CNY': 8.188016},CNY,8.188016,2014,2,Feb
80,81,2005-03-01,{'USD': 1.319134},USD,1.319134,2005,3,Mar
81,82,2005-03-01,{'GBP': 0.686801},GBP,0.686801,2005,3,Mar
82,83,2005-03-01,{'JPY': 137.639276},JPY,137.639276,2005,3,Mar
83,84,2005-03-01,{'CNY': 10.916589},CNY,10.916589,2005,3,Mar
84,85,2006-03-01,{'USD': 1.191541},USD,1.191541,2006,3,Mar
85,86,2006-03-01,{'GBP': 0.680712},GBP,0.680712,2006,3,Mar
86,87,2006-03-01,{'JPY': 138.282796},JPY,138.282796,2006,3,Mar
87,88,2006-03-01,{'CNY': 9.578394},CNY,9.578394,2006,3,Mar
88,89,2007-03-01,{'USD': 1.319312},USD,1.319312,2007,3,Mar
89,90,2007-03-01,{'GBP': 0.672863},GBP,0.672863,2007,3,Mar
90,91,2007-03-01,{'JPY': 155.078072},JPY,155.078072,2007,3,Mar
91,92,2007-03-01,{'CNY': 10.216057},CNY,10.216057,2007,3,Mar
