Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
United States,USA,"International tourism, number of departures",ST.INT.DPRT,63503000,63663000,64049000,63653000,62130000,61061000,59209000,60697000,61344000,68185000,74191000
United States,USA,"International tourism, number of arrivals",ST.INT.ARVL,49206000,50977000,56135000,58007000,55103000,60010000,62821000,66657000,69995000,75022000,77774000
